Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.041773,1.1066E-07,0.0086049,0,0,0,234.66,9.5676,-1.0199E-05,-0.80343,23.224,-2.3006E-06,27.142,0,0,0,0,0,0,package://robot_description/meshes/base_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://robot_description/meshes/base_link.STL,,body-1;water tank-1;Rueda Giratoria-3/Horquilla Giro-2;Rueda Giratoria-2/Horquilla Giro-2,Coordinate System1,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
lidar_link,-0.0028178,-0.00029956,0.023158,0,0,0,0.28578,0.00019613,1.0228E-06,5.4025E-06,0.00018721,6.1195E-07,0.00027358,0,0,0,0,0,0,package://robot_description/meshes/lidar_link.STL,0.75294,0.75294,0.75294,0.4,0,0,0,0,0,0,package://robot_description/meshes/lidar_link.STL,,Intel Realsense RPLIDAR A2-1,Coordinate System14,Axis_lidar_joint,lidar_joint,fixed,0.4435,0,0.19682,0,0,0,base_link,0,0,0,,,,,,,,,,,,
right_wheel_link,0.00022467,-0.00049986,0.0036269,0,0,0,5.5356,0.057208,-3.1261E-06,5.3496E-10,0.057214,2.2256E-09,0.10823,0,0,0,0,0,0,package://robot_description/meshes/right_wheel_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://robot_description/meshes/right_wheel_link.STL,,wheel-1,Coordinate System2,Axis1,right_wheel_joint,continuous,-0.4505,-0.332,-0.1041,-1.5708,0,0,base_link,0,0,1,10,10,,,,,0.1,0.1,,,,
left_wheel_link,0.00027874,-0.00047189,0.0016269,0,0,0,5.5356,0.057209,-3.6667E-06,-1.0563E-08,0.057213,5.5206E-09,0.10823,0,0,0,0,0,0,package://robot_description/meshes/left_wheel_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://robot_description/meshes/left_wheel_link.STL,,wheel-2,Coordinate System3,Axis2,left_wheel_joint,continuous,-0.45056,0.332,-0.10407,-1.5708,0,0,base_link,0,0,-1,10,10,,,,,0.1,0.1,,,,
castor_l_swivel_link,0.0076563,-5.1505E-05,-0.032982,0,0,0,1.3179,0.0006576,8.0971E-11,0.00010963,0.00079106,-5.8606E-11,0.0008082,0,0,0,0,0,0,package://robot_description/meshes/castor_l_swivel_link.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://robot_description/meshes/castor_l_swivel_link.STL,,Rueda Giratoria-2/Horquilla giro base-1;Rueda Giratoria-2/Horquilla giro der-1;Rueda Giratoria-2/Horquilla giro izq-2;Rueda Giratoria-2/heavy hex bolt_am-2;Rueda Giratoria-2/prevailing torque hex nut_am-1;Rueda Giratoria-2/buje separador-1;Rueda Giratoria-2/buje separador-2,Coordinate System13,Axis6,castor_l_swivel_joint,continuous,0.398,0.2,-0.10453,0,0,0,base_link,0,0,-1,10,10,,,,,0.001,0.001,,,,
castor_l_wheel_link,-3.6082E-16,0,0.0305,0,0,0,5.3698,0.0086725,-2.062E-19,8.5365E-19,0.0086725,1.1689E-19,0.015544,0,0,0,0,0,0,package://robot_description/meshes/castor_l_wheel_link.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://robot_description/meshes/castor_l_wheel_link.STL,,Rueda Giratoria-2/Masa Central-1;Rueda Giratoria-2/Hule Rueda-1;Rueda Giratoria-2/radial ball bearing 200k_tfm-1;Rueda Giratoria-2/radial ball bearing 200k_tfm-2,Coordinate System5,Axis5,castor_l_wheel_joint,continuous,0.034301,-0.0305,-0.1004,-1.5708,0,0,castor_l_swivel_link,0,0,-1,10,10,,,,,0.001,0.001,,,,
castor_r_swivel_link,0.0076563,-5.1505E-05,-0.032982,0,0,0,1.3179,0.0006576,8.096E-11,0.00010963,0.00079106,-5.8613E-11,0.0008082,0,0,0,0,0,0,package://robot_description/meshes/castor_r_swivel_link.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://robot_description/meshes/castor_r_swivel_link.STL,,Rueda Giratoria-3/Horquilla giro base-1;Rueda Giratoria-3/Horquilla giro der-1;Rueda Giratoria-3/Horquilla giro izq-2;Rueda Giratoria-3/heavy hex bolt_am-2;Rueda Giratoria-3/prevailing torque hex nut_am-1;Rueda Giratoria-3/buje separador-1;Rueda Giratoria-3/buje separador-2,Coordinate System12,Axis3,castor_r_swivel_joint,continuous,0.398,-0.2,-0.10453,0,0,0,base_link,0,0,-1,10,10,,,,,0.001,0.001,,,,
castor_r_wheel_link,-3.747E-16,-5.5511E-17,0.0305,0,0,0,5.3698,0.0086725,1.4155E-19,9.1092E-19,0.0086725,9.8723E-20,0.015544,0,0,0,0,0,0,package://robot_description/meshes/castor_r_wheel_link.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://robot_description/meshes/castor_r_wheel_link.STL,,Rueda Giratoria-3/Masa Central-1;Rueda Giratoria-3/Hule Rueda-1;Rueda Giratoria-3/radial ball bearing 200k_tfm-1;Rueda Giratoria-3/radial ball bearing 200k_tfm-2,Coordinate System4,Axis4,castor_r_wheel_joint,fixed,0.034301,-0.0305,-0.1004,-1.5708,0,0,castor_r_swivel_link,0,0,0,10,10,,,,,0.001,0.001,,,,
arm_base_link,-0.0014254,0.0012318,0.038724,0,0,0,5.7738,0.036402,-0.00079994,4.1166E-05,0.036438,-3.4695E-05,0.066455,0,0,0,0,0,0,package://robot_description/meshes/arm_base_link.STL,0.2,0.2,0.2,1,0,0,0,0,0,0,package://robot_description/meshes/arm_base_link.STL,,Robotic Arm Model-1/Part1-1,Coordinate System6,,arm_mount_joint,fixed,0.10524,0,0.19682,0,0,0,base_link,0,0,0,,,,,,,,,,,,
base_yaw_link,-0.059184,0.0016136,0.084797,0,0,0,2.388,0.012377,0.0005197,0.0094393,0.024644,-0.00032073,0.016814,0,0,0,0,0,0,package://robot_description/meshes/base_yaw_link.STL,0.98824,0.73725,0.51765,1,0,0,0,0,0,0,package://robot_description/meshes/base_yaw_link.STL,,Robotic Arm Model-1/Part2-1,Coordinate System7,Axis8,base_yaw_joint,revolute,0,0,0.085,0,0,0,arm_base_link,0,0,1,30,1.5,-3.14,3.14,,,0.1,0.1,,,,
shoulder_link,0.10938,-0.10526,0.026202,0,0,0,1.0438,0.010591,0.008946,0.00081718,0.0088945,-0.00082862,0.019033,0,0,0,0,0,0,package://robot_description/meshes/shoulder_link.STL,0.98824,0.73725,0.51765,1,0,0,0,0,0,0,package://robot_description/meshes/shoulder_link.STL,,Robotic Arm Model-1/Part3-1,Coordinate System8,Axis9,shoulder_pitch_joint,revolute,-0.14936,0.013835,0.16,-1.5708,0,0,base_yaw_link,0,0,-1,40,1,-1.57,-1.57,,,0.1,0.1,,,,
elbow_link,0.11923,0.0095672,-0.058054,0,0,0,2.011,0.0029441,0.0015223,0.00083258,0.0098705,-4.6292E-05,0.010343,0,0,0,0,0,0,package://robot_description/meshes/elbow_link.STL,0.98824,0.73725,0.51765,1,0,0,0,0,0,0,package://robot_description/meshes/elbow_link.STL,,Robotic Arm Model-1/l4-1,Coordinate System9,Axis10,elbow_pitch_joint,revolute,0.23355,-0.26144,-0.0015474,0,0,0,shoulder_link,0,0,-1,25,1.5,-1.57,1.57,,,0.1,0.1,,,,
wrist_pitch_link,0.050187,0.033365,-0.0046487,0,0,0,0.35016,0.0002907,-7.07E-05,1.0006E-05,0.00035003,6.5488E-06,0.0003978,0,0,0,0,0,0,package://robot_description/meshes/wrist_pitch_link.STL,0.98824,0.73725,0.51765,1,0,0,0,0,0,0,package://robot_description/meshes/wrist_pitch_link.STL,,Robotic Arm Model-1/Assem2-1/enda-1,Coordinate System10,Axis11,wrist_pitch_joint,revolute,0.35465,-0.048027,-0.081056,0,0,0,elbow_link,0,0,1,10,2,-1.57,1.57,,,0.1,0.1,,,,
